#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 01 04 01 30 999 99.0 99.0  0.99  5.88  5.18 186 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 04 02 00 999 99.0 99.0  0.95  5.88  5.14 186 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 04 02 30 999 99.0 99.0  0.95  6.67  5.16 175 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 04 03 00 999 99.0 99.0  0.89  6.25  5.07 178 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 04 03 30 999 99.0 99.0  0.85  5.56  4.96 188 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 04 04 00 999 99.0 99.0  0.85  5.56  4.90 183 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 04 04 30 999 99.0 99.0  0.85  6.67  5.01 167 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 04 05 00 999 99.0 99.0  0.82  6.25  5.09 171 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 04 05 30 999 99.0 99.0  0.82  5.88  5.00 175 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 04 06 00 999 99.0 99.0  0.79  6.25  5.13 168 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 04 06 30 999 99.0 99.0  0.81  5.88  5.20 182 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 04 07 00 999 99.0 99.0  0.80  6.25  5.42 172 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 04 07 30 999 99.0 99.0  0.87  9.09  5.71 162 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 04 08 00 999 99.0 99.0  0.89  8.33  5.77 169 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 04 08 30 999 99.0 99.0  1.06  8.33  6.28 172 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 04 09 00 999 99.0 99.0  1.18  8.33  6.56 171 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 04 09 30 999 99.0 99.0  1.25  8.33  6.60 171 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 04 10 00 999 99.0 99.0  1.33  7.69  6.61 169 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 04 10 30 999 99.0 99.0  1.34  7.69  6.51 174 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 04 11 00 999 99.0 99.0  1.35  7.69  6.69 175 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 04 11 30 999 99.0 99.0  1.28  7.69  6.63 172 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 04 12 00 999 99.0 99.0  1.14  8.33  6.32 165 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 04 12 30 999 99.0 99.0  1.15  8.33  6.28 167 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 04 13 00 999 99.0 99.0  1.15  7.69  6.17 174 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 04 13 30 999 99.0 99.0  1.17  7.69  6.28 175 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 04 14 00 999 99.0 99.0  1.24  7.14  5.97 172 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 04 14 30 999 99.0 99.0  1.09  7.69  5.36 174 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 04 15 00 999 99.0 99.0  1.08  7.14  5.09 172 9999.0 999.0   9.1 999.0 99.0 99.00
2020 01 04 15 30 999 99.0 99.0  1.23  7.14  5.21 169 9999.0 999.0   9.1 999.0 99.0 99.00
2020 01 04 16 00 999 99.0 99.0  1.11  7.14  4.82 171 9999.0 999.0   9.1 999.0 99.0 99.00
2020 01 04 16 30 999 99.0 99.0  1.14  7.14  4.75 176 9999.0 999.0   9.2 999.0 99.0 99.00
2020 01 04 17 00 999 99.0 99.0  1.12  7.14  4.68 178 9999.0 999.0   9.2 999.0 99.0 99.00
2020 01 04 17 30 999 99.0 99.0  1.16  8.33  4.89 164 9999.0 999.0   9.2 999.0 99.0 99.00
2020 01 04 18 00 999 99.0 99.0  1.16  7.14  4.96 171 9999.0 999.0   9.1 999.0 99.0 99.00
2020 01 04 18 30 999 99.0 99.0  1.18  7.69  5.27 168 9999.0 999.0   9.1 999.0 99.0 99.00
2020 01 04 19 00 999 99.0 99.0  1.23  9.09  5.65 167 9999.0 999.0   9.1 999.0 99.0 99.00
2020 01 04 19 30 999 99.0 99.0  1.17  8.33  5.58 167 9999.0 999.0   9.1 999.0 99.0 99.00
2020 01 04 20 00 999 99.0 99.0  1.23  9.09  5.86 162 9999.0 999.0   9.1 999.0 99.0 99.00
2020 01 04 20 30 999 99.0 99.0  1.15  9.09  5.85 161 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 04 21 00 999 99.0 99.0  1.42  9.09  6.73 161 9999.0 999.0   9.0 999.0 99.0 99.00
2020 01 04 21 30 999 99.0 99.0  1.30  9.09  6.54 158 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 04 22 00 999 99.0 99.0  1.27  9.09  6.65 164 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 04 22 30 999 99.0 99.0  1.31  9.09  7.05 174 9999.0 999.0   8.9 999.0 99.0 99.00
